Sample ID,Height-DBH Ratio,Estem,Etwig,Branching Distance,Twig Diameter,Twig Wood Density,Stem Wood Density,Leaf Mass Fraction,Leaf Area,LMA,LCC,LNC,LPC,d15N,t/b2,Ks,Ktwig,Huber Value,%Lum,VD,%Sapwood,d13C,Biomass5,pcent.max.Bio5,Symmetric Competition,Asymmetric Competition,Soil Humidity,pH,Organic C,N,P,K,Ca,Mg,Soil Depth,Slope,North Aspect,East Aspect,Elevation,Summer.Max,Fall.Min,Mean.Temp,%Canopy Opening,Species,Site,Tree Age,Tree Height,julian date 2011,Branch Height,SRL,Root Wood Density,Twig branching angle,Hmax,Shade Tolerance,Drought Tolerance,WaterLogging Tolerance,DBH:DGH,Leaf Area Ratio,Branch Dry Mass,Leaf Thickness,Leaf Density,C.N,C.P,N.P,Kl,Kleaf,Biomass1,pcent.max.Bio1,Total Transmitted Light 
J10ACSA19,120.00000000,2807.71852300,368.49675550,16.75000000,5.44000000,0.65688549,0.79003034,0.85520285,43.42781250,36.25268945,48.49950000,1.90370000,8.33946493,-6.12108284,0.02703713,24.65822365,432.66664060,0.01189264,0.05427032,7375.44493500,0.89363822,-30.81102547,0.34898293,0.00761516,1.34307733,7.72498386,0.07000000,NA,NA,NA,NA,NA,NA,NA,NA,23.60000000,0.61566148,-0.78801075,202.00000000,28.67000000,-9.83000000,13.32000000,4.93500000,ACSA,West Lake Hill,41.00000000,384.00000000,191.00000000,3.30000000,NA,NA,60.02400000,35.00000000,4.76000000,2.88000000,3.37000000,0.69565217,232.50551690,5.89100000,0.09380000,0.38648923,25.47644062,5.81566089,0.22827604,453.39726480,0.20435617,0.06979659,0.00645662,2.42500000
J10AMSP12,98.29268293,2012.67018400,539.40024560,8.00000000,4.39500000,0.62760602,0.89003906,1.00070175,13.62967213,46.22268195,47.46910000,2.53450000,11.54215370,-4.73663479,0.02222068,43.61019192,829.09441990,0.00673115,0.13965568,5447.32134800,0.96824688,-30.72773155,4.61059392,0.22353442,12.04282986,10.14821630,0.04566667,NA,NA,NA,NA,NA,NA,NA,NA,18.10000000,0.61566148,-0.78801075,202.00000000,28.67000000,-9.83000000,13.32000000,7.55000000,AMSP,West Lake Hill,41.00000000,403.00000000,191.00000000,3.90000000,NA,NA,57.93170000,12.00000000,NA,NA,NA,0.64516129,216.99649120,4.27500000,0.12180000,0.37949657,18.72917735,4.11267266,0.21958640,306.81340740,0.72289030,0.82903646,0.22745817,3.89000000
J10AMSP13,160.66666670,7055.69828400,378.09208230,11.36842105,5.40000000,0.66411502,0.87721088,0.63972340,18.23260000,48.86851025,49.72830000,2.33490000,11.39280294,-5.20916735,0.02124537,34.65170741,648.69344270,0.00927485,0.13301262,5034.95244300,0.95342158,-29.76456268,4.20798802,0.21588289,2.37104342,9.59569162,0.08500000,NA,NA,NA,NA,NA,NA,NA,NA,12.90000000,0.03489950,-0.99939083,202.00000000,28.67000000,-9.83000000,13.32000000,6.25000000,AMSP,West Lake Hill,41.00000000,482.00000000,191.00000000,3.60000000,NA,NA,52.71115000,12.00000000,NA,NA,NA,0.69767442,124.99766300,9.41969611,0.13340000,0.36633066,21.29782860,4.36488722,0.20494518,259.75300400,0.48254526,0.96175893,0.27922246,4.59000000
J10FAG15,141.42857140,3871.40418800,722.95002220,9.77777778,3.72500000,0.60425330,0.75105399,1.54271802,51.98562500,34.37248278,47.94940000,2.27640000,10.15500101,-3.18216334,0.01726466,41.18362907,767.81017850,0.00721477,0.11763400,5979.83734400,0.94950960,-31.70953758,4.68247532,0.32021610,4.09913573,12.49341651,0.05200000,NA,NA,NA,NA,NA,NA,NA,NA,17.20000000,0.03489950,-0.99939083,202.00000000,28.67000000,-9.83000000,13.32000000,5.74000000,FAG,West Lake Hill,32.00000000,396.00000000,191.00000000,3.20000000,NA,NA,71.62496667,25.00000000,4.75000000,1.50000000,1.50000000,0.70000000,440.65958390,2.25900000,0.08540000,0.40248809,21.06369707,4.72175236,0.22416541,349.57946010,0.68315400,0.78358389,0.19022354,2.98000000
J10FRA19,113.94736840,3121.34310200,113.98022720,56.00000000,8.93500000,0.54812149,0.76782190,1.18893491,354.28250000,44.15614658,46.46480000,2.55940000,12.08830481,-7.86346443,0.02363995,337.20246070,1420.26745000,0.08723904,0.14587747,19565.18203000,0.21451097,-30.60815605,2.03860068,0.14591301,1.34053001,9.50367842,0.04966667,NA,NA,NA,NA,NA,NA,NA,NA,13.40000000,0.03489950,-0.99939083,202.00000000,28.67000000,-9.83000000,13.32000000,8.68000000,FRA,West Lake Hill,60.00000000,433.00000000,191.00000000,3.20000000,NA,NA,32.57590000,30.00000000,2.46000000,2.38000000,2.59000000,0.73786408,271.35181100,11.19237048,0.09240000,0.47788037,18.15456748,3.84378130,0.21172530,2310.42557300,0.41418560,0.54564968,0.18820291,6.50000000
J10OSV19,193.33333330,4496.47936900,684.61230670,8.28571429,3.76000000,0.58301348,0.79959360,1.53810132,19.58761905,36.05290028,47.70290000,2.16610000,8.47040947,-3.07207354,0.01943153,45.66849898,874.95870680,0.00656972,0.07918785,7042.17569300,0.97575532,-31.26575073,1.23673782,0.18120216,1.68482771,24.85665935,0.03400000,NA,NA,NA,NA,NA,NA,NA,NA,24.80000000,0.61566148,-0.78801075,202.00000000,28.67000000,-9.83000000,13.32000000,4.18000000,OSV,West Lake Hill,24.00000000,290.00000000,191.00000000,2.90000000,NA,NA,69.08508000,12.00000000,4.58000000,3.25000000,1.07000000,0.62500000,414.26990210,2.34900000,0.10700000,0.33694299,22.02248280,5.63171122,0.25572554,578.32837200,1.64450562,0.27014928,0.18079595,2.82000000
J10PRS11,98.38709677,1384.75843900,334.75563460,11.30769231,5.43000000,0.59454640,0.74416244,1.25631637,22.74170213,50.80178882,47.37505978,2.93560000,10.66267210,-5.92586556,0.02589995,45.11235151,863.52539540,0.00901260,0.14170496,4933.10000000,0.97487685,-29.18777306,3.56028179,0.20084238,0.87157640,27.02617441,0.06966667,NA,NA,NA,NA,NA,NA,NA,NA,12.60000000,0.03489950,-0.99939083,202.00000000,28.67000000,-9.83000000,13.32000000,5.73000000,PRS,West Lake Hill,42.00000000,305.00000000,191.00000000,2.70000000,NA,NA,49.44392857,22.00000000,2.46000000,3.02000000,1.06000000,0.68888889,243.74404980,5.46200000,0.11560000,0.43946184,16.13811820,4.44307575,0.27531560,318.85180640,0.62346261,0.49399817,0.12608724,3.41000000
J11ACP9,131.30434780,1889.93067400,255.49870010,36.33333333,5.40500000,0.44961241,0.56262774,0.54621309,128.66125000,24.80350533,42.48747492,2.39740000,15.71030643,-4.48467865,0.02206760,34.23878229,484.79497620,0.00959840,0.08420606,6522.29123200,0.72112393,-30.68918068,0.58128327,0.05075260,1.96714773,25.80513922,0.13433333,6.73000000,16.44698278,0.75770925,12.26417356,221.74071770,770.10731590,68.66633972,34.00000000,7.70000000,0.50000000,-0.86602540,200.00000000,26.33000000,-11.17000000,13.03000000,4.06000000,ACP,Gault Parking,35.00000000,302.00000000,190.00000000,2.00000000,100.01296680,0.60507326,50.00920000,10.00000000,3.56000000,2.00000000,1.00000000,0.69696970,220.21608900,4.67400000,0.10440000,0.23758147,17.72231372,2.70443324,0.15260046,405.18279590,0.35671350,0.14174276,0.03449719,2.04000000
J11ACSA21,233.57142860,6266.42515000,232.73823880,16.60000000,6.13000000,0.52680137,0.77726175,1.38935718,49.94200000,47.79544271,46.93330000,2.01290000,8.38079294,-3.30682736,0.03181824,40.65469806,574.37774710,0.01289260,0.09113020,6494.73508000,0.71954337,-30.32310280,0.79035819,0.01383107,1.58863747,1.65377628,0.02666667,5.45000000,5.98849201,0.25643684,4.46811342,81.33579151,297.89809410,21.97250615,26.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,4.54000000,ACSA,Gault Parking,27.00000000,327.00000000,190.00000000,2.90000000,NA,NA,41.72865000,35.00000000,4.76000000,2.88000000,3.37000000,0.58333333,271.61877730,5.44568389,0.10400000,0.45957157,23.31626012,5.60010256,0.24018014,448.16087850,0.93393468,0.07008051,0.00519907,2.14000000
J11AMSP14,267.36842110,6619.63939700,470.29938700,14.91666667,4.65000000,0.61254573,0.87597938,0.76461769,15.79137931,51.07544492,46.68360000,2.29050000,12.66682909,-2.71104437,0.00794417,63.97445430,1187.48035800,0.00529215,0.15204918,8093.52316700,0.94534418,-30.38980850,2.32353233,0.10994809,5.42387731,5.75052773,0.05300000,NA,NA,NA,NA,NA,NA,NA,21.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,5.45000000,AMSP,Gault Parking,15.00000000,508.00000000,190.00000000,3.60000000,NA,NA,51.79415000,12.00000000,NA,NA,NA,0.39583333,143.95427290,5.33600000,0.12480000,0.40925837,20.38140144,3.68550011,0.18082663,419.24309880,2.02766960,0.41969184,0.11238539,3.64000000
