SampleID,Height.DBH.Ratio,Estem,Etwig,Branching.Distance,Twig.Diameter,Twig.Wood.Density,Stem.Wood.Density,Leaf.Mass.Fraction,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C,Biomass5,pcent.max.Bio5,Symmetric.Competition,Asymmetric.Competition,Soil.Humidity,SoilpH,Organic C,N,P,K,Ca,Mg,Soil.Depth,Slope,North.Aspect,East.Aspect,Elevation,Summer.Max,Fall.Min,Mean.Temp,X.Canopy Opening,Species,Site,Tree.Age,Tree.Height,julian.date.2011,Branch.Height,SRL,Root.Wood.Density,Twig.branching.angle,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging Tolerance,DBH.DGH,Leaf Area.Ratio,Branch.Dry.Mass,Leaf.Thickness,Leaf.Density,C.N,C.P,N.P,Kl,Kleaf,Biomass1,pcent.max.Bio1,Total.Transmitted.Light 
J10ACSA19,120,2807.718523,368.4967555,16.75,5.44,0.65688549,0.790030342,0.855202852,43.4278125,36.25268945,48.4995,1.9037,8.339464929,-6.12108284,0.02703713,24.65822365,432.6666406,0.011892643,0.05427032,7375.444935,0.893638219,-30.81102547,0.34898293,0.007615155,1.343077333,7.724983863,0.07,NA,NA,NA,NA,NA,NA,NA,NA,23.6,0.615661475,-0.788010754,202,28.67,-9.83,13.32,4.935,ACSA,West Lake Hill,41,384,191,3.3,NA,NA,60.024,35,4.76,2.88,3.37,0.695652174,232.5055169,5.891,0.0938,0.386489227,25.47644062,5.815660886,0.228276036,453.3972648,0.204356166,0.069796586,0.006456624,2.425
J10AMSP12,98.29268293,2012.670184,539.4002456,8,4.395,0.627606019,0.890039063,1.000701754,13.62967213,46.22268195,47.4691,2.5345,11.5421537,-4.736634789,0.022220681,43.61019192,829.0944199,0.006731149,0.139655677,5447.321348,0.968246876,-30.72773155,4.610593917,0.223534418,12.04282986,10.1482163,0.045666667,NA,NA,NA,NA,NA,NA,NA,NA,18.1,0.615661475,-0.788010754,202,28.67,-9.83,13.32,7.55,AMSP,West Lake Hill,41,403,191,3.9,NA,NA,57.9317,12,NA,NA,NA,0.64516129,216.9964912,4.275,0.1218,0.379496568,18.72917735,4.112672662,0.219586402,306.8134074,0.722890296,0.829036456,0.227458171,3.89
J10AMSP13,160.6666667,7055.698284,378.0920823,11.36842105,5.4,0.664115021,0.877210884,0.639723397,18.2326,48.86851025,49.7283,2.3349,11.39280294,-5.209167347,0.021245374,34.65170741,648.6934427,0.009274847,0.133012624,5034.952443,0.953421583,-29.76456268,4.207988019,0.215882892,2.371043424,9.595691617,0.085,NA,NA,NA,NA,NA,NA,NA,NA,12.9,0.034899497,-0.999390827,202,28.67,-9.83,13.32,6.25,AMSP,West Lake Hill,41,482,191,3.6,NA,NA,52.71115,12,NA,NA,NA,0.697674419,124.997663,9.419696114,0.1334,0.366330662,21.2978286,4.364887224,0.204945176,259.753004,0.482545257,0.961758928,0.279222457,4.59
J10FAG15,141.4285714,3871.404188,722.9500222,9.777777778,3.725,0.6042533,0.751053985,1.542718017,51.985625,34.37248278,47.9494,2.2764,10.15500101,-3.182163343,0.017264659,41.18362907,767.8101785,0.007214765,0.117633998,5979.837344,0.949509603,-31.70953758,4.682475324,0.320216099,4.099135725,12.49341651,0.052,NA,NA,NA,NA,NA,NA,NA,NA,17.2,0.034899497,-0.999390827,202,28.67,-9.83,13.32,5.74,FAG,West Lake Hill,32,396,191,3.2,NA,NA,71.62496667,25,4.75,1.5,1.5,0.7,440.6595839,2.259,0.0854,0.402488089,21.06369707,4.721752362,0.224165413,349.5794601,0.683154001,0.783583894,0.190223535,2.98
J10FRA19,113.9473684,3121.343102,113.9802272,56,8.935,0.548121494,0.767821896,1.188934911,354.2825,44.15614658,46.4648,2.5594,12.08830481,-7.863464432,0.023639949,337.2024607,1420.26745,0.087239036,0.145877468,19565.18203,0.214510971,-30.60815605,2.038600679,0.145913006,1.340530008,9.503678419,0.049666667,NA,NA,NA,NA,NA,NA,NA,NA,13.4,0.034899497,-0.999390827,202,28.67,-9.83,13.32,8.68,FRA,West Lake Hill,60,433,191,3.2,NA,NA,32.5759,30,2.46,2.38,2.59,0.737864078,271.351811,11.19237048,0.0924,0.477880374,18.15456748,3.843781303,0.211725303,2310.425573,0.414185597,0.54564968,0.188202909,6.5
J10OSV19,193.3333333,4496.479369,684.6123067,8.285714286,3.76,0.583013475,0.799593599,1.53810132,19.58761905,36.05290028,47.7029,2.1661,8.470409468,-3.072073536,0.019431526,45.66849898,874.9587068,0.00656972,0.079187845,7042.175693,0.975755324,-31.26575073,1.236737821,0.18120216,1.68482771,24.85665935,0.034,NA,NA,NA,NA,NA,NA,NA,NA,24.8,0.615661475,-0.788010754,202,28.67,-9.83,13.32,4.18,OSV,West Lake Hill,24,290,191,2.9,NA,NA,69.08508,12,4.58,3.25,1.07,0.625,414.2699021,2.349,0.107,0.336942993,22.0224828,5.631711215,0.255725536,578.328372,1.644505617,0.270149283,0.180795948,2.82
J10PRS11,98.38709677,1384.758439,334.7556346,11.30769231,5.43,0.594546403,0.744162437,1.256316368,22.74170213,50.80178882,47.37505978,2.9356,10.6626721,-5.925865555,0.025899947,45.11235151,863.5253954,0.009012597,0.141704956,4933.1,0.974876852,-29.18777306,3.560281794,0.200842378,0.871576401,27.02617441,0.069666667,NA,NA,NA,NA,NA,NA,NA,NA,12.6,0.034899497,-0.999390827,202,28.67,-9.83,13.32,5.73,PRS,West Lake Hill,42,305,191,2.7,NA,NA,49.44392857,22,2.46,3.02,1.06,0.688888889,243.7440498,5.462,0.1156,0.439461841,16.1381182,4.443075745,0.275315603,318.8518064,0.623462608,0.493998174,0.126087239,3.41
J11ACP9,131.3043478,1889.930674,255.4987001,36.33333333,5.405,0.449612413,0.562627737,0.546213094,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.022067598,34.23878229,484.7949762,0.009598398,0.084206055,6522.291232,0.721123934,-30.68918068,0.581283273,0.050752599,1.967147733,25.80513922,0.134333333,6.73,16.44698278,0.757709251,12.26417356,221.7407177,770.1073159,68.66633972,34,7.7,0.5,-0.866025404,200,26.33,-11.17,13.03,4.06,ACP,Gault Parking,35,302,190,2,100.0129668,0.605073256,50.0092,10,3.56,2,1,0.696969697,220.216089,4.674,0.1044,0.237581469,17.72231372,2.704433239,0.152600461,405.1827959,0.356713498,0.141742762,0.03449719,2.04
J11ACSA21,233.5714286,6266.42515,232.7382388,16.6,6.13,0.526801367,0.77726175,1.389357177,49.942,47.79544271,46.9333,2.0129,8.380792936,-3.306827364,0.031818239,40.65469806,574.3777471,0.0128926,0.091130202,6494.73508,0.71954337,-30.3231028,0.790358188,0.013831068,1.58863747,1.653776278,0.026666667,5.45,5.988492007,0.256436837,4.468113422,81.33579151,297.8980941,21.97250615,26,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.54,ACSA,Gault Parking,27,327,190,2.9,NA,NA,41.72865,35,4.76,2.88,3.37,0.583333333,271.6187773,5.445683892,0.104,0.459571565,23.31626012,5.600102563,0.240180138,448.1608785,0.933934683,0.070080505,0.005199071,2.14
J11AMSP14,267.3684211,6619.639397,470.299387,14.91666667,4.65,0.612545734,0.875979381,0.764617691,15.79137931,51.07544492,46.6836,2.2905,12.66682909,-2.711044369,0.007944172,63.9744543,1187.480358,0.005292145,0.152049183,8093.523167,0.94534418,-30.3898085,2.323532333,0.109948085,5.423877311,5.750527729,0.053,NA,NA,NA,NA,NA,NA,NA,21,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,5.45,AMSP,Gault Parking,15,508,190,3.6,NA,NA,51.79415,12,NA,NA,NA,0.395833333,143.9542729,5.336,0.1248,0.409258373,20.38140144,3.685500111,0.180826629,419.2430988,2.027669596,0.419691842,0.112385391,3.64
