SampleID,BA.0.2006,BA.0.2007,BA.0.2008,BA.0.2009,BA.0.2010,BA.0.2011
J10ACSA19,12.01842262,NA,NA,NA,NA,12.43720214
J10AMSP12,11.91645226,12.60417674,13.43452834,14.60330173,15.69800972,16.52704618
J10AMSP13,4.97839922,5.33467899,5.96142378,6.94049387,8.22462831,9.18638723
J10FAG15,6.61116169,7.44203264,8.5815042,9.68116825,10.51005312,11.29363701
J10FRA19,10.50948842,10.79963904,11.1588244,11.55459341,12.00243942,12.5480891
J10OSV19,1.85744604,2.13561208,2.38308299,2.55109026,2.82403458,3.09418386
J10PRS11,8.44422998,8.93598242,9.25783959,10.41246116,11.5105136,12.00451177
J11ACP9,5.01445674,5.19478096,5.31460961,5.33375144,5.45399725,5.59574002
J11ACSA21,1.25534266,1.51520427,1.75190272,1.90279971,1.97562035,2.04570085
J11AMSP14,1.88376218,2.35148014,2.70037521,3.235627,3.78760267,4.20729451
J11AMSP15,5.29068511,6.49646312,7.81547042,8.68072276,9.33397945,9.73883238
J11BEA6,2.47215401,2.91375886,3.25133104,3.59632641,4.05505215,4.34239497
J11BEA7,1.44619754,2.12968491,2.93944896,3.88781222,4.82379138,5.50084685
J11BEPA15,7.07364968,8.21614817,10.05315029,11.62250168,12.52932594,13.18916917
J11BEPO11,0.10566049,0.13003767,0.14747084,0.15520056,0.16122304,0.1697704
J11BEPO12,0.28295068,0.45531988,0.69248938,0.89536405,1.14420537,1.35194039
J11COA5,6.33048748,7.65561185,9.37150244,10.93593154,12.23964851,14.06481174
J11COA6,7.46774461,8.88525714,10.39394555,11.08668637,11.49942488,11.82626577
J11FAG17,9.27651383,10.77471502,12.54108806,14.2021447,15.70772411,16.66959182
J11POG7,3.94573101,5.30526779,9.27501569,11.72030476,14.46168502,15.04250129
J11POT11,4.52670975,5.92910901,8.25777749,9.24121636,10.02638988,10.57675109
J11POT12,1.33933576,1.75948235,2.24159096,2.38668541,3.18049421,3.52232345
J11PRP7,19.38458839,21.37507833,22.98152584,24.73684754,26.64315163,27.39089643
J11PRP8,5.80382952,6.24565466,6.96467647,7.77360595,8.26246545,8.80987128
J11QUR19,4.59087767,5.84782556,7.58890838,9.20718792,10.64329867,11.39084732
J11QUR20,3.23747308,3.62324397,3.93366062,4.27070835,4.56694483,4.75739878
J11SOA10,6.53843932,7.49118639,9.05708871,10.37315685,11.93506796,12.88573511
J12ACP11,7.65069814,8.81664776,9.07350282,9.94728219,10.14550815,10.32037946
J12ACP12,5.41835786,5.73013246,5.95152619,6.0993397,6.42415741,6.63380236
J12ACSA22,10.25885147,10.75073693,11.23659252,12.07658931,12.71301875,13.67132213
J12ACSP5,6.81561183,8.60254423,10.50229358,12.05665054,14.07751006,14.73473969
J12ACSP6,1.89723745,2.12139834,2.19829549,2.21840502,2.30966377,2.39761364
J12BEA9,11.02985323,12.16068779,12.34600251,12.70324477,12.96524422,13.21372065
J12COA7,8.66905175,10.23377636,10.79069041,11.81948209,12.52493379,12.87524297
J12FRA23,13.38006785,14.07441814,14.56072864,14.8932081,15.3112618,16.09997611
J12OSV23,1.00613923,1.24247201,1.48749503,1.6670722,1.86426094,2.09139318
J12TIA16,NA,NA,NA,NA,NA,NA
J13ACSA24,8.86695734,9.53296564,10.00645114,10.52853927,11.77198746,12.1116574
J13ACSP7,7.05420774,8.1060218,8.93421316,9.59794353,11.73353695,12.32462015
J13ACSP8,13.66977924,14.68918816,15.08692361,15.22252869,15.3393763,15.44341073
J13FAG20,20.38480297,20.70953173,20.77579342,21.00511358,21.16797197,21.6476431
