SampleID,Site,BAI_GR,BIO_GR,Species,julian.date.2011,Tree.Age,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Tree.Height,Branch.Height,Root.Wood.Density,Twig.branching.angle,Symmetric.Competition,Asymmetric.Competition,Soil.Humidity,SoilpH,Organic.C,N,P,K,Ca,Mg,Soil.Depth,Slope,North.Aspect,East.Aspect,Elevation,Summer.Max,Fall.Min,Mean.Temp,X.Canopy.Opening,Estem,Branching.Distance,Stem.Wood.Density,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C
J10ACSA19,West Lake Hill,0.08375590399999985,0.04244480724206482,ACSA,191,41,35,4.76,2.88,3.37,384,3.3,0.633031743,60.024,1.343077333,7.724983863,0.07,6.36,10.0654931668,0.2891149788,42.860724234,84.79249100999999,3875.1857974,56.647325794000004,21.4,23.6,0.615661475,-0.788010754,202,28.67,-9.83,13.32,4.935,2807.718523,16.75,0.790030342,43.4278125,36.25268945,48.4995,1.9037,8.339464929,-6.12108284,0.02703713,24.65822365,432.6666406,0.011892643,0.05427032,7375.444935,0.893638219,-30.81102547
J10AMSP12,West Lake Hill,0.9221187839999999,0.12492177547449991,AMSP,191,41,12,3.66,2.412,1.098,403,3.9,0.7205598188,57.9317,12.04282986,10.1482163,0.045666667,5.928,10.1883293552,0.3419070164,17.9274001304,72.58112262200001,3989.3566274,68.1948752038,10,18.1,0.615661475,-0.788010754,202,28.67,-9.83,13.32,7.55,2012.670184,8,0.890039063,13.62967213,46.22268195,47.4691,2.5345,11.5421537,-4.736634789,0.022220681,43.61019192,829.0944199,0.006731149,0.139655677,5447.321348,0.968246876,-30.72773155
J10AMSP13,West Lake Hill,0.8415976019999999,0.23227244178739875,AMSP,191,41,12,3.216,2.202,1.434,482,3.6,0.6788497602,52.71115,2.371043424,9.595691617,0.085,5.422,11.234785992199999,0.4074416954,9.3369033122,58.765827548,1925.6992777,42.4739212916,16.4,12.9,0.034899497,-0.999390827,202,28.67,-9.83,13.32,6.25,7055.698284,11.36842105,0.877210884,18.2326,48.86851025,49.7283,2.3349,11.39280294,-5.209167347,0.021245374,34.65170741,648.6934427,0.009274847,0.133012624,5034.952443,0.953421583,-29.76456268
J10FAG15,West Lake Hill,0.9364950639999998,0.22045078133614396,FAG,191,32,25,4.75,1.5,1.5,396,3.2,0.666644268,71.62496667,4.099135725,12.49341651,0.052,5.49,8.870852604,0.267757541,8.7700925378,71.74200026599999,1752.3643652,23.9037637618,13.4,17.2,0.034899497,-0.999390827,202,28.67,-9.83,13.32,5.74,3871.404188,9.777777778,0.751053985,51.985625,34.37248278,47.9494,2.2764,10.15500101,-3.182163343,0.017264659,41.18362907,767.8101785,0.007214765,0.117633998,5979.837344,0.949509603,-31.70953758
J10FRA19,West Lake Hill,0.407720136,0.06532133293264034,FRA,191,60,30,2.46,2.38,2.59,433,3.2,0.5823543502,32.5759,1.340530008,9.503678419,0.049666667,5.202,14.915783027,0.6103968242,73.64916413,48.923159386,2164.24543704,68.608511532,13.4,13.4,0.034899497,-0.999390827,202,28.67,-9.83,13.32,8.68,3121.343102,56,0.767821896,354.2825,44.15614658,46.4648,2.5594,12.08830481,-7.863464432,0.023639949,337.2024607,1420.26745,0.087239036,0.145877468,19565.18203,0.214510971,-30.60815605
J10OSV19,West Lake Hill,0.24734756399999996,0.2439687977570475,OSV,191,24,12,4.58,3.25,1.07,290,2.9,0.7598759438,69.08508,1.68482771,24.85665935,0.034,5.558,14.3081590496,0.5127669368,21.1328586318,76.452925898,3986.2591118,56.5017819578,14.8,24.8,0.615661475,-0.788010754,202,28.67,-9.83,13.32,4.18,4496.479369,8.285714286,0.799593599,19.58761905,36.05290028,47.7029,2.1661,8.470409468,-3.072073536,0.019431526,45.66849898,874.9587068,0.00656972,0.079187845,7042.175693,0.975755324,-31.26575073
J10PRS11,West Lake Hill,0.7120563580000002,0.13168531929643187,PRS,191,42,22,2.46,3.02,1.06,305,2.7,0.5632538296,49.44392857,0.871576401,27.02617441,0.069666667,5.4713333334,7.959807563,0.3213757462,22.052755732399998,49.279633196,1826.36930668,34.8451344918,16.6,12.6,0.034899497,-0.999390827,202,28.67,-9.83,13.32,5.73,1384.758439,11.30769231,0.744162437,22.74170213,50.80178882,47.37505978,2.9356,10.6626721,-5.925865555,0.025899947,45.11235151,863.5253954,0.009012597,0.141704956,4933.1,0.974876852,-29.18777306
J11ACP9,Gault Parking,0.11625665600000001,0.06932762453826569,ACP,190,35,10,3.56,2,1,302,2,0.605073256,50.0092,1.967147733,25.80513922,0.134333333,6.73,16.44698278,0.757709251,12.26417356,221.7407177,770.1073159,68.66633972,34,7.7,0.5,-0.866025404,200,26.33,-11.17,13.03,4.06,1889.930674,36.33333333,0.562627737,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.022067598,34.23878229,484.7949762,0.009598398,0.084206055,6522.291232,0.721123934,-30.68918068
J11ACSA21,Gault Parking,0.15807163799999996,0.2187450415490636,ACSA,190,27,35,4.76,2.88,3.37,327,2.9,0.6153767358,41.72865,1.58863747,1.653776278,0.026666667,5.45,5.988492007,0.256436837,4.468113422,81.33579151,297.8980941,21.97250615,26,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.54,6266.42515,16.6,0.77726175,49.942,47.79544271,46.9333,2.0129,8.380792936,-3.306827364,0.031818239,40.65469806,574.3777471,0.0128926,0.091130202,6494.73508,0.71954337,-30.3231028
J11AMSP14,Gault Parking,0.464706466,0.5441237587589205,AMSP,190,15,12,2.262,2.306,1.038,508,3.6,0.7195371966,51.79415,5.423877311,5.750527729,0.053,5.652,5.6909836160000005,0.2694279844,19.707805624,129.340433276,2033.2763671599998,60.58247128399999,21,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,5.45,6619.639397,14.91666667,0.875979381,15.79137931,51.07544492,46.6836,2.2905,12.66682909,-2.711044369,0.007944172,63.9744543,1187.480358,0.005292145,0.152049183,8093.523167,0.94534418,-30.3898085
