SampleID,Site,BAI_GR,BIO_GR,Species,julian.date.2011,Tree.Age,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Tree.Height,Branch.Height,Root.Wood.Density,Twig.branching.angle,Soil.Fertility,Light,Temperature,pH,Slope,Estem,Branching.Distance,Stem.Wood.Density,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C
J10ACSA19,West Lake Hill,0.08375590399999985,0.04244480724206482,ACSA,191,41,35,4.76,2.88,3.37,384,3.3,0.633031743,60.024,0.016390842427403515,-0.8591999746971356,0.020904381052333283,1.177294666796038,1.044379579529631,2807.718523,16.75,0.790030342,43.4278125,36.25268945,48.4995,1.9037,8.339464929,-6.12108284,0.02703713,24.65822365,432.6666406,0.011892643,0.05427032,7375.444935,0.893638219,-30.81102547
J10AMSP12,West Lake Hill,0.9221187839999999,0.12492177547449991,AMSP,191,41,12,3.66,2.412,1.098,403,3.9,0.7205598188,57.9317,0.09012905004348702,-0.8501764023753344,0.16504956574771262,1.3185602124579807,-0.054804467661189356,2012.670184,8,0.890039063,13.62967213,46.22268195,47.4691,2.5345,11.5421537,-4.736634789,0.022220681,43.61019192,829.0944199,0.006731149,0.139655677,5447.321348,0.968246876,-30.72773155
J10AMSP13,West Lake Hill,0.8415976019999999,0.23227244178739875,AMSP,191,41,12,3.216,2.202,1.434,482,3.6,0.6788497602,52.71115,0.2693988252957582,-0.8802984731856195,-0.1521109703531539,0.2433909819327224,0.2732283540880453,7055.698284,11.36842105,0.877210884,18.2326,48.86851025,49.7283,2.3349,11.39280294,-5.209167347,0.021245374,34.65170741,648.6934427,0.009274847,0.133012624,5034.952443,0.953421583,-29.76456268
J10FAG15,West Lake Hill,0.9364950639999998,0.22045078133614396,FAG,191,32,25,4.75,1.5,1.5,396,3.2,0.666644268,71.62496667,0.37293715193164523,-0.9904004922314772,-0.21344766914560925,0.22766851663718427,0.4305131472490341,3871.404188,9.777777778,0.751053985,51.985625,34.37248278,47.9494,2.2764,10.15500101,-3.182163343,0.017264659,41.18362907,767.8101785,0.007214765,0.117633998,5979.837344,0.949509603,-31.70953758
J10FRA19,West Lake Hill,0.407720136,0.06532133293264034,FRA,191,60,30,2.46,2.38,2.59,433,3.2,0.5823543502,32.5759,-0.14766636537381958,-0.9169690549041468,-0.7298645980115662,-0.03407737767292009,-0.32653284658889126,3121.343102,56,0.767821896,354.2825,44.15614658,46.4648,2.5594,12.08830481,-7.863464432,0.023639949,337.2024607,1420.26745,0.087239036,0.145877468,19565.18203,0.214510971,-30.60815605
J10OSV19,West Lake Hill,0.24734756399999996,0.2439687977570475,OSV,191,24,12,4.58,3.25,1.07,290,2.9,0.7598759438,69.08508,-0.19146276562458103,-0.575128307813874,0.07571355255478081,0.4514688243465048,0.6907137707808477,4496.479369,8.285714286,0.799593599,19.58761905,36.05290028,47.7029,2.1661,8.470409468,-3.072073536,0.019431526,45.66849898,874.9587068,0.00656972,0.079187845,7042.175693,0.975755324,-31.26575073
J10PRS11,West Lake Hill,0.7120563580000002,0.13168531929643187,PRS,191,42,22,2.46,3.02,1.06,305,2.7,0.5632538296,49.44392857,0.39321532224349554,-0.8490209519257336,-0.09313703282442895,-0.05732790422163094,0.2523422634191038,1384.758439,11.30769231,0.744162437,22.74170213,50.80178882,47.37505978,2.9356,10.6626721,-5.925865555,0.025899947,45.11235151,863.5253954,0.009012597,0.141704956,4933.1,0.974876852,-29.18777306
J11ACP9,Gault Parking,0.11625665600000001,0.06932762453826569,ACP,190,35,10,3.56,2,1,302,2,0.605073256,50.0092,-0.2886038076927424,-0.9711064717097739,1.0167922058847418,0.9809840792276485,0.05306814409643946,1889.930674,36.33333333,0.562627737,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.022067598,34.23878229,484.7949762,0.009598398,0.084206055,6522.291232,0.721123934,-30.68918068
J11ACSA21,Gault Parking,0.15807163799999996,0.2187450415490636,ACSA,190,27,35,4.76,2.88,3.37,327,2.9,0.6153767358,41.72865,0.4769027071208273,-1.5093454317283752,0.49325665169247224,0.08181339461699613,0.2335083821317021,6266.42515,16.6,0.77726175,49.942,47.79544271,46.9333,2.0129,8.380792936,-3.306827364,0.031818239,40.65469806,574.3777471,0.0128926,0.091130202,6494.73508,0.71954337,-30.3231028
J11AMSP14,Gault Parking,0.464706466,0.5441237587589205,AMSP,190,15,12,2.262,2.306,1.038,508,3.6,0.7195371966,51.79415,0.13426543914926747,-1.4211921806519021,0.5369708647807239,0.6019380760373719,-0.20774023897997576,6619.639397,14.91666667,0.875979381,15.79137931,51.07544492,46.6836,2.2905,12.66682909,-2.711044369,0.007944172,63.9744543,1187.480358,0.005292145,0.152049183,8093.523167,0.94534418,-30.3898085
J11AMSP15,Gault Parking,0.8896294539999999,0.2601368595508874,AMSP,190,30,12,3.946,2.322,1.026,456,2.7,0.7440504924,38.153,0.2771435176029677,-1.3200756630562978,0.8154318267907831,-0.4843143289038652,-0.6528511586185417,6311.339074,12.16666667,0.884084507,19.60943396,40.63311845,48.801,2.4395,13.04847975,-3.830754623,0.006342093,94.90216515,1779.576213,0.008168922,0.182940362,9138.544043,0.955015854,-30.67580421
J11BEA6,Gault Parking,0.37404819199999995,0.3850957828058132,BEA,190,15,25,3.17,3,2,327,2,0.620095343,64.6842,-0.1487239448234235,-1.3906110378302083,0.556551159695048,0.8512748246193255,-0.7582349598328826,4774.756829,9.857142857,0.642622951,19.9,33.76884422,46.8291,2.0502,10.98919808,-2.12705718,0.019565983,86.73651596,1689.660289,0.003021396,0.101019942,13396.73355,0.992127606,-30.66197403
J11BEA7,Gault Parking,0.8109298620000001,1.1292326864290887,BEA,190,14,25,3.17,3,2,376,2.7,0.661087866,69.94883333,0.6679346241181282,-1.6381927194920727,0.5736500649756163,0.3782560106270813,0.4583421601106846,4962.812215,40,0.591191958,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.358811216,0.023944652,15.50386653,301.8042009,0.006373468,0.073997719,9665.437573,0.991414736,-31.11229691
J11BEPA15,Gault Parking,1.223103898,0.3220026822490731,BEPA,190,21,25,1.54,2.02,1.25,564,4.9,0.553974385,56.735,0.142463493785969,-1.3682089926503096,0.40628008592506665,-0.22130864673988918,-0.1528943622025115,6515.643783,41.5,0.529411765,23.10789474,52.11251566,48.0097,3.0891,14.16067098,-0.752803044,0.031962697,50.06644908,978.9630724,0.004608051,0.146957987,2458.327218,0.995840144,-30.06918701
J11BEPO11,Gault Parking,0.012821981999999999,0.4220521842390026,BEPO,218,12,15,1.5,2.34,1,245,1.8,0.5991691882,44.4195,-0.37930895449096863,-1.2041219164037509,0.3530074260946534,0.3750460237868514,-0.33268462410952415,1069.784403,28.2,0.526368159,12.41448276,51.63602022,49.67241821,3.3173,14.09329873,-3.205218935,0.019706561,38.35987793,736.3124051,0.003216945,0.108853957,4383.95696,0.977586084,-29.74619896
J11BEPO12,Gault Parking,0.21379794199999996,1.384124562181323,BEPO,190,15,15,1.5,2.34,1,537,4.4,0.41607565,47.276,0.4554648416525564,-1.5510671046590458,0.6552305035901507,0.44962733514086584,0.1624210699561259,3069.050836,14.36363636,0.592284733,10.98089286,53.85978892,51.41695267,2.8457,18.58994924,-0.574813867,0.013673912,72.00436784,1384.228269,0.003842745,0.118144581,8633.222818,0.979081811,-30.88110001
J11COA5,Gault Parking,1.546864852,0.4865214668749416,COA,190,17,10,4,1.77,1.02,342,3,0.473537604,58.219,0.2743351672529171,-0.9412832208123766,1.264926361348975,-0.6598651190246471,-0.7332848718258836,1395.91942,19,0.568141026,20.50904762,28.55882421,45.4262,2.7328,12.12922651,-2.547017632,0.025451634,72.4838593,1286.676386,0.003396777,0.151487941,8783.895374,0.904061827,-31.74354347
J11COA6,Gault Parking,0.8717042319999999,0.26285044226186965,COA,190,19,10,4,1.77,1.02,464,3.6,0.670168067,51.2557,-0.26371195038286005,-1.0515014970288465,0.9089328613542629,-0.15717858370612334,-0.32541621381151636,3934.574913,21.83333333,0.600533333,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.642497358,0.018202124,35.6573934,550.8337994,0.007237312,0.121430263,5652.919906,0.786757874,-31.50082573
J11FAG17,Gault Parking,1.478615598,0.3553640385717968,FAG,190,17,25,4.75,1.5,1.5,440,4,0.6451240572,64.54868,0.04925377496613097,-1.2032983284842942,1.1359825959164034,0.44591699821322356,0.26613401913923623,3854.560391,14.125,0.720942623,55.015,22.77787876,47.6881,2.9169,13.46337806,0.528578176,0.017021405,58.93334037,1087.772139,0.006789977,0.135523456,7488.630832,0.940041406,-31.37796219
J11POG7,Gault Parking,2.2193540560000002,1.0194979008563356,POG,190,16,20,1.21,2.5,2,661,5.5,0.5473340358,59.63975,0.15309688138558325,-1.444705835969474,0.6028979664067601,0.35351212384294667,-0.7392958061185355,9105.990621,13,0.459617321,21.70577778,70.02743765,41.7582,2.6071,16.08503237,-1.003921733,0.020076068,115.3446276,2097.167708,0.009187247,0.178355564,4265.953521,0.925989156,-29.59481819
J11POT11,Gault Parking,1.210008268,0.44240663003217323,POT,218,22,25,1.21,1.77,1.77,569,3.5,0.5858619718,74.54733333,0.47405227221043766,-1.4204478087275814,0.9458700103657454,0.19077576521693854,0.08957928894489167,6964.813515,11,0.576455696,14.926,80.27937827,48.858,2.8376,12.35296523,-2.135547237,0.002756092,41.28901846,788.8702071,0.006445975,0.111422965,4849.766496,0.973063329,-29.3259581
J11POT12,Gault Parking,0.436597538,0.8494707223124474,POT,190,12,25,1.21,1.77,1.77,295,2.6,0.5838712956,72.052,0.5956561687576412,-1.6409925897279185,0.08011107137474029,0.7876227076589095,0.8149213980895891,2415.764735,34.66666667,0.575501584,18.02212121,91.97450944,44.3039,2.4126,13.35560988,-2.565268593,0.034433242,30.55874422,587.167744,0.004987544,0.108851534,5521.064277,0.978581038,-28.29275307
J11PRP7,Gault Parking,1.6012616080000002,0.1718307980529287,PRP,190,25,12,3.128,2.33,1.028,330,2.5,0.5737570587999999,60.16791667,0.216639318855322,-1.3900159650402082,0.6595297542773761,0.5950657630735819,0.5841701269076435,595.1691173,8.6,0.664526803,14.4791453,47.96170147,45.42804262,2.8632,16.47467355,-2.955379629,0.025087238,148.0309983,2808.094636,0.014480761,0.206149778,9343.967919,0.966115794,-29.22596962
J11PRP8,Gault Parking,0.6012083519999999,0.36368507879736733,PRP,190,13,12,2.388,2.634,1.044,497,3.6,0.5683981934,50.7753,0.44837300776127237,-1.4518454516075419,0.8098118718015178,0.30030708336476863,0.8092050141933645,6540.187445,8.357142857,0.641814059,15.33710526,49.24417906,49.55314892,2.5625,16.78842288,-3.216383123,0.025603627,71.29450175,1326.322214,0.008033904,0.133211509,8351.240621,0.947464868,-30.58699638
J11QUR19,Gault Parking,1.3599939300000001,0.5667641539179867,QUR,190,17,25,2.75,2.88,1.12,537,3.7,0.589387212,7.538,-0.3159423745544202,-1.4237114898174874,1.922447649520446,1.0246400297918092,-0.8632056606400365,8602.652067,31.5,0.791509677,93.28166667,52.99362147,47.3582,2.7166,11.4558948,1.197930219,0.036340788,281.2747697,1198.120273,0.067141326,0.109601455,42423.96939,0.216940057,-29.63957771
J11QUR20,Gault Parking,0.30398514,0.2895997503218878,QUR,190,15,25,2.75,2.88,1.12,266,1.7,0.5947437568,45.66505,0.11712544530812577,-1.3018868419448004,0.7528210347442591,-0.11224689027244017,0.032319166650263326,2827.123137,11.71428571,0.824509298,50.35888889,39.04198751,48.0477,2.5186,11.43280644,-0.458056865,0.011665998,313.6379901,625.0836387,0.106850335,0.159789143,39892.44825,0.101503164,-31.12436089
J11SOA10,Gault Parking,1.269459158,0.37599384528980084,SOA,190,19,10,2.59,1.77,1.27,548,3.3,0.5703241054,50.0795,0.01352576868030578,-1.3483994329532571,0.7186774040083844,0.4662183340574159,0.07783324562669337,6631.906161,12.66666667,0.670286738,19.17266667,47.28954414,45.9814,2.4735,15.18300142,-2.585423336,0.0329153,18.88733802,324.2869931,0.003830998,0.099259677,3453.805612,0.874437728,-31.20744713
J12ACP11,South East Hill,0.5339362639999999,0.1401214174766519,ACP,214,29,10,3.56,2,1,297,2.2,0.590608067,48.8808,-1.468552763876391,-0.05814340806395711,0.40164643513390214,0.43795721347652095,-1.2429382588861482,895.3041167,13.3,0.544483986,70.37235294,25.787199180000002,46.1249,2.0342,18.89869388,-2.79781805,0.018171156,35.02319349,575.43813,0.009143648,0.073630171,8276.479554,0.836783297,-29.74419983
J12ACP12,South East Hill,0.24308889999999989,0.10603825734427914,ACP,214,30,10,3.56,2,1,340,2,0.666693205,59.1578,-1.795118907846384,-0.3550751771376116,0.5828932926128971,0.7551203147969783,-0.34376907063045764,1877.633291,29.66666667,0.575522388,87.694,25.61178644,44.6355,2.7603,24.82237046,-4.662024574,0.020660844,38.49389995,608.4670665,0.006347448,0.097861069,6003.352164,0.805035948,-30.35851463
J12ACSA22,South East Hill,0.6824941320000001,0.1037071350377465,ACSA,214,49,35,4.76,2.88,3.37,520,4.5,0.611713315,46.61966667,-2.0286434386896612,-0.22389850505669806,0.9658374792324119,2.6383103048435266,-0.2678026036392841,3933.904901,15.5,0.733307393,43.15736842,42.32978451,45.46400025,2.9,9.772248731,-1.286969686,0.026085845,26.85374368,420.0068599,0.012457811,0.075532923,6126.99554,0.796565796,-30.44704468
J12ACSP5,South East Hill,1.5838255719999998,0.491652700106453,ACSP,214,16,5,3.31,2,2,466,3.3,0.629144852,48.09646667,-0.19096406223201345,-1.4453656357873543,0.29628844328620907,-0.6988668638509732,0.9060120273137738,2491.920762,10.5,0.520830527,37.13263158,32.48667649,47.66448922,2.6486,23.6168195,-4.168115044,0.020527462,49.33750667,727.9098011,0.009911171,0.084814883,7034.151125,0.751398768,-30.99303467
J12ACSP6,South East Hill,0.10007523799999998,0.24170564232246697,ACSP,214,14,5,3.31,2,2,250,1.9,0.5740180596,51.70015,-0.3532555760916876,-1.2032765963664345,0.5694677099398835,0.9243607730192922,1.504839480236008,2319.218352,28,0.492865497,35.68266667,24.0639713,47.7578,2.1688,17.82658717,-4.07002552,0.0289815,47.60588338,671.0938253,0.007592138,0.09875028,6583.810822,0.717947561,-31.01059898
J12BEA9,South East Hill,0.43677348400000005,0.07153644691951665,BEA,214,51,25,3.17,3,2,490,3.6,0.645381984,56.94745,-0.6019671330108883,-1.2275173756794535,0.6212459420314169,1.1235703211065706,0.5149884367620856,3221.141398,8.7,0.536204082,42.75666667,28.51407188,46.1042,3.0052,21.69067983,-3.369336185,0.027157844,36.51406789,706.0798152,0.006083869,0.086335217,6673.746305,0.984835483,-31.63055786
J12COA7,South East Hill,0.8412382440000001,0.2018394760974137,COA,214,23,10,4,1.77,1.02,465,3.1,0.526857143,38.2114,-1.6267689394441387,-0.44772048161363076,0.9373264126416436,2.1457902411864396,0.3285866431503967,3835.729681,17.85714286,0.607817237,17.09964286,32.749222,42.7689,2.5044,14.46896045,-0.326279101,0.027129899,62.30020409,921.1620478,0.006810374,0.156394836,7710.168742,0.753037627,-31.99868568
J12FRA23,South East Hill,0.543981652,0.09618730272099658,FRA,214,32,30,2.46,2.38,2.59,782,6.3,0.550675676,63.9067,-1.0808640282312918,-0.9163409974577966,0.7189699313049921,2.1006982746535785,1.7773429743224705,12859.39457,69,0.778308648,145.63,33.5233125,44.7849,2.5957,15.72869648,-2.201580391,0.033457787,211.7868195,152.9282956,0.224798079,0.174634422,12241.33144,0.036775538,-31.32747849
