SampleID,BAI_GR,BIO_GR,Height.DBH.Ratio,Estem,Branching.Distance,Twig.Diameter,Twig.Wood.Density,Stem.Wood.Density,Leaf.Mass.Fraction,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C,Root.Wood.Density,Twig.branching.angle,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Soil.Fertility,Light,Temperature,pH,Slope
J11ACP9,0.11625665600000001,734.4876783750269,131.3043478,1889.930674,36.33333333,5.405,0.449612413,0.562627737,0.546213094,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.022067598,34.23878229,484.7949762,0.009598398,0.084206055,6522.291232,0.721123934,-30.68918068,0.605073256,50.0092,10,3.56,2,1,-0.2005290832732634,-0.602091158243054,1.755606209796829,1.153751533707088,0.5020367731732001
J11ACSA21,0.15807163799999996,815.3523048203476,233.5714286,6266.42515,16.6,6.13,0.526801367,0.77726175,1.389357177,49.942,47.79544271,46.9333,2.0129,8.380792936,-3.306827364,0.031818239,40.65469806,574.3777471,0.0128926,0.091130202,6494.73508,0.71954337,-30.3231028,NA,41.72865,35,4.76,2.88,3.37,0.3715009227453656,-1.2149288659078363,1.4597653253255853,0.2921445141648329,0.21955630113285657
J11AMSP15,0.8896294539999999,6659.452226894302,165.8181818,6311.339074,12.16666667,6.135,0.602835203,0.884084507,1.122499911,19.60943396,40.63311845,48.801,2.4395,13.04847975,-3.830754623,0.006342093,94.90216515,1779.576213,0.008168922,0.182940362,9138.544043,0.955015854,-30.67580421,NA,38.153,12,NA,NA,NA,0.22975840743719475,-0.9661482314023948,1.7014763779996394,-0.21778148968301925,-0.7103685390313178
J11BEA7,0.8109298620000001,3117.2237326241857,214.8571429,4962.812215,40,4.43,0.527018823,0.591191958,2.174326466,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.358811216,0.023944652,15.50386653,301.8042009,0.006373468,0.073997719,9665.437573,0.991414736,-31.11229691,0.661087866,69.94883333,25,3.17,3,2,0.5203042898615623,-1.2927141728565965,1.536242338628224,0.5898986748901682,-0.21032078487073055
J11BEPA15,1.223103898,7288.445299932498,181.9354839,6515.643783,41.5,4.48,0.484567909,0.529411765,1.122226016,23.10789474,52.11251566,48.0097,3.0891,14.16067098,-0.752803044,0.031962697,50.06644908,978.9630724,0.004608051,0.146957987,2458.327218,0.995840144,-30.06918701,0.553974385,56.735,25,1.54,2.02,1.25,0.09138751596291074,-1.0850420763885569,1.410027036104287,0.009835120922630548,-0.11289322372406388
J11BEPO12,0.21379794199999996,1127.9919649928197,108.4848485,3069.050836,14.36363636,4.64,0.54046706,0.592284733,0.926887822,10.98089286,53.85978892,51.41695267,2.8457,18.58994924,-0.574813867,0.013673912,72.00436784,1384.228269,0.003842745,0.118144581,8633.222818,0.979081811,-30.88110001,0.41607565,47.276,15,1.5,2.34,1,0.3514153864679927,-1.1859276436230985,1.592986362275782,0.6526675645102034,-0.6665166431549964
J11COA5,1.546864852,5810.831604985384,114,1395.91942,19,4.77,0.457069157,0.568141026,0.239320481,20.50904762,28.55882421,45.4262,2.7328,12.12922651,-2.547017632,0.025451634,72.4838593,1286.676386,0.003396777,0.151487941,8783.895374,0.904061827,-31.74354347,0.473537604,58.219,10,4,1.77,1.02,0.2729067403832896,-0.6015515884637951,1.8289634561330073,-0.3925899995868414,0.9307056529903733
J11COA6,0.8717042319999999,5614.821378520544,132.5714286,3934.574913,21.83333333,6.14,0.539322083,0.600533333,0.389743661,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.642497358,0.018202124,35.6573934,550.8337994,0.007237312,0.121430263,5652.919906,0.786757874,-31.50082573,0.670168067,51.2557,10,4,1.77,1.02,-0.20267393892802757,-0.7125295535768496,1.7013843902071135,0.07865277187118952,0.3499264660315674
J11FAG17,1.478615598,10151.324189547982,133.3333333,3854.560391,14.125,4.995,0.604120802,0.720942623,0.55304457,55.015,22.77787876,47.6881,2.9169,13.46337806,0.528578176,0.017021405,58.93334037,1087.772139,0.006789977,0.135523456,7488.630832,0.940041406,-31.37796219,NA,64.54868,25,4.75,1.5,1.5,0.03749370645226684,-0.7536512875706365,1.888212555354129,0.7188981736105174,-0.7157476074460991
J11POG7,2.2193540560000002,11462.414609504984,183.6111111,9105.990621,13,5.975,0.42548901,0.459617321,1.924449825,21.70577778,70.02743765,41.7582,2.6071,16.08503237,-1.003921733,0.020076068,115.3446276,2097.167708,0.009187247,0.178355564,4265.953521,0.925989156,-29.59481819,NA,59.63975,20,1.21,2.5,2,0.11825328118079832,-1.084933244359933,1.5298418408441472,0.5016763569927563,-1.5188443603981392
J11POT12,0.436597538,1452.9114022401595,203.4482759,2415.764735,34.66666667,4.825,0.481869814,0.575501584,2.233322991,18.02212121,91.97450944,44.3039,2.4126,13.35560988,-2.565268593,0.034433242,30.55874422,587.167744,0.004987544,0.108851534,5521.064277,0.978581038,-28.29275307,NA,72.052,25,1.21,1.77,1.77,0.45350015074022676,-1.421300444321956,1.0767446783115384,0.9439280883113502,0.5793892672248233
J11PRP7,1.6012616080000002,8327.865286343815,80.48780488,595.1691173,8.6,5.225,0.572200906,0.664526803,1.445506692,14.4791453,47.96170147,45.42804262,2.8632,16.47467355,-2.955379629,0.025087238,148.0309983,2808.094636,0.014480761,0.206149778,9343.967919,0.966115794,-29.22596962,NA,60.16791667,12,NA,NA,NA,0.1568258505291594,-1.0386641427804344,1.5514142745536885,0.786322356994651,0.1347859297768572
J11PRP8,0.6012083519999999,5439.9748050421,177.5,6540.187445,8.357142857,4.105,0.580983392,0.641814059,1.761680778,15.33710526,49.24417906,49.55314892,2.5625,16.78842288,-3.216383123,0.025603627,71.29450175,1326.322214,0.008033904,0.133211509,8351.240621,0.947464868,-30.58699638,NA,50.7753,12,NA,NA,NA,0.34157819142022683,-1.07570686615697,1.6872880721711585,0.5501663924511491,0.45404893588832684
J11QUR20,0.30398514,1852.0969805414038,183.4482759,2827.123137,11.71428571,5.405,0.532813938,0.824509298,1.150401207,50.35888889,39.04198751,48.0477,2.5186,11.43280644,-0.458056865,0.011665998,313.6379901,625.0836387,0.106850335,0.159789143,39892.44825,0.101503164,-31.12436089,NA,45.66505,25,2.75,2.88,1.12,0.08138013991639871,-0.9640454861553436,1.6631057301742584,0.12288091070725975,0.2267872975404635
J11SOA10,1.269459158,9269.687994579352,171.25,6631.906161,12.66666667,4.585,0.53622138,0.670286738,0.530638029,19.17266667,47.28954414,45.9814,2.4735,15.18300142,-2.585423336,0.0329153,18.88733802,324.2869931,0.003830998,0.099259677,3453.805612,0.874437728,-31.20744713,NA,50.0795,10,2.59,1.77,1.27,-0.012425652539900035,-1.0192078960408968,1.576053236483007,0.627604526056658,-0.2463372447700264
J12ACP11,0.5339362639999999,2063.0785094480316,84.85714286,895.3041167,13.3,5.67,0.447745181,0.544483986,0.511550297,70.37235294,25.787199180000002,46.1249,2.0342,18.89869388,-2.79781805,0.018171156,35.02319349,575.43813,0.009143648,0.073630171,8276.479554,0.836783297,-29.74419983,0.590608067,48.8808,10,3.56,2,1,-1.2094008534619793,-0.16144113679704342,0.43391997281686584,0.7085355200685832,0.7397450546577738
J12ACP12,0.24308889999999989,1349.6566274875518,138.7755102,1877.633291,29.66666667,4.725,0.439846282,0.575522388,0.455023672,87.694,25.61178644,44.6355,2.7603,24.82237046,-4.662024574,0.020660844,38.49389995,608.4670665,0.006347448,0.097861069,6003.352164,0.805035948,-30.35851463,NA,59.1578,10,3.56,2,1,-1.4996837801065455,-0.3962861729330343,0.6330800656291135,1.037906234642519,1.3945146027273703
J12ACSA22,0.6824941320000001,5340.754171951568,125.3012048,3933.904901,15.5,4.77,0.517910135,0.733307393,1.237280604,43.15736842,42.32978451,45.46400025,2.9,9.772248731,-1.286969686,0.026085845,26.85374368,420.0068599,0.012457811,0.075532923,6126.99554,0.796565796,-30.44704468,0.611713315,46.61966667,35,4.76,2.88,3.37,-1.624688895770481,-0.2261726134947259,0.9847357101158714,2.8023400974272636,2.066044105569714
J12BEA9,0.43677348400000005,2744.185734137187,113.9534884,3221.141398,8.7,4.165,0.511534684,0.536204082,0.873369938,42.75666667,28.51407188,46.1042,3.0052,21.69067983,-3.369336185,0.027157844,36.51406789,706.0798152,0.006083869,0.086335217,6673.746305,0.984835483,-31.63055786,0.645381984,56.94745,25,3.17,3,2,-0.616415194693977,-1.0727062334947677,1.0050317381007194,1.5563341188623214,-1.714146007212653
J12COA7,0.8412382440000001,5483.981032917569,119.2307692,3835.729681,17.85714286,5.145,0.530377027,0.607817237,0.346593001,17.09964286,32.749222,42.7689,2.5044,14.46896045,-0.326279101,0.027129899,62.30020409,921.1620478,0.006810374,0.156394836,7710.168742,0.753037627,-31.99868568,0.526857143,38.2114,10,4,1.77,1.02,-1.3454732108082326,-0.4021159160118564,0.9035655714152345,2.378078078579582,0.829349760923334
J12FRA23,0.543981652,9547.09355106796,173.7777778,12859.39457,69,6.95,0.390774357,0.778308648,0.61473801,145.63,33.5233125,44.7849,2.5957,15.72869648,-2.201580391,0.033457787,211.7868195,152.9282956,0.224798079,0.174634422,12241.33144,0.036775538,-31.32747849,0.550675676,63.9067,30,2.46,2.38,2.59,-0.9695231638031071,-0.8680820805232234,0.9098620136032061,2.466301746106118,-0.07373253538665266
J12OSV23,0.21705078999999997,905.210120704691,218.5714286,4006.367603,7.433333333,4.12,0.56089323,0.684597156,0.733111566,13.73934426,28.99415344,46.0314,2.2327,13.57853598,-1.747870312,0.025291141,56.04833807,1075.156402,0.005498073,0.130204208,3958.112769,0.976965024,-32.11829193,0.654953636,66.89305,12,4.58,3.25,1.07,-0.6968882881742086,-0.7893256880654502,1.2448305239139814,2.210737970405801,1.0346859126136234
J13ACSA24,0.648940012,5493.9152863234485,192.3076923,5585.364453,15.28571429,4.645,0.55845393,0.711910472,1.504735376,61.291,35.92697133,48.86651541,3.2564,11.56210048,-1.474483395,0.03625565,27.11491109,465.6328105,0.013038624,0.076618603,4796.778911,0.874591999,-31.44696838,NA,40.553,35,4.76,2.88,3.37,-1.2507163154631655,0.7381189961552385,-1.12252399397656,-1.5259341048635047,-0.3699992379130266
J13ACSP7,1.0540824819999999,7877.074216644546,149.4444444,4123.382665,11.66666667,4.445,0.476932398,0.603115385,0.634365899,32.53529412,30.10305551,48.31938964,2.8408,20.36875688,-1.763466263,0.015390751,56.06808741,783.8481612,0.00835941,0.108019929,6514.697841,0.712010359,-30.39402229,0.634677944,49.6345,5,3.31,2,2,-1.762265389918417,1.0093653775262685,-1.2860737257671886,-0.6960952390122173,-0.43089640717066613
J13ACSP8,0.35472629799999994,7392.0816026762095,145,5230.819322,21,4.885,0.448713005,0.548335604,0.489336493,34.16666667,24.02439024,48.7557,2.6311,18.72190079,-2.882875519,0.022985235,37.26393125,628.6783712,0.004501377,0.075093551,5925.892762,0.859231043,-31.60252937,0.622037422,48.064,5,3.31,2,2,-1.8474647134720483,1.6058285587772754,-0.8002557687285369,0.7412616904940884,-0.1603971104122135
J13FAG20,0.25256802600000017,6964.076761697514,161.875,13471.34555,10.71428571,4.63,0.650407474,0.727398031,0.727732611,37.70390244,25.07342191,46.1461,2.8689,9.4456574,-0.960306582,0.011603275,64.38250163,1218.153371,0.009217378,0.187226247,5654.656433,0.963616513,-31.12585052,NA,71.54691667,25,4.75,1.5,1.5,-1.431929202235014,1.5840953792937718,-0.47824826287898164,0.3936252566256767,0.0904278879697428
