SampleID,Site,BAI_GR,BIO_GR,Species,julian.date.2011,Tree.Age,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Tree.Height,Branch.Height,Root.Wood.Density,Twig.branching.angle,Slope,Leaf.Area,LCC,LPC,t.b2,Ktwig,Huber.Value,X.Lum,VD,Estem,Branching.Distance,Stem.Wood.Density,LMA,LNC,d15N,Ks,X.Sapwood,d13C,Soil.Fertility,Light,Temperature,pH
J11ACP9,Gault Parking,0.11625665600000001,0.06932762453826569,ACP,190,35,10,3.56,2,1,302,2,0.605073256,50.0092,0.5033787069324306,128.66125,42.48747492,15.71030643,0.022067598,484.7949762,0.009598398,0.084206055,6522.291232,-2464.38787103311,13.705626789747367,-0.05823690072013286,-23.757013650842882,-0.35815743591387417,-2.1887534798591037,-69.83005028395597,-0.04253064985289294,-0.3031465388428878,-0.2639193420021165,-0.8515993646113493,1.8414477879281963,0.7566502945457205
J11ACSA21,Gault Parking,0.15807163799999996,0.2187450415490636,ACSA,190,27,35,4.76,2.88,3.37,327,2.9,NA,41.72865,0.22009686974080322,49.942,46.9333,8.380792936,0.031818239,574.3777471,0.0128926,0.091130202,6494.73508,1912.1066049669382,-6.027706540252814,0.15639711227987194,-0.7650762708431651,-0.7426574359138282,-1.0109021938590905,-63.414134513951446,-0.04411121385290937,0.06293134115680174,0.3168137469423274,-1.471334169540724,1.199873910933125,0.13575721589757306
J11AMSP15,Gault Parking,0.8896294539999999,0.2601368595508874,AMSP,190,30,12,NA,NA,NA,456,2.7,NA,38.153,-0.7069125113610616,19.60943396,48.801,13.04847975,0.006342093,1779.576213,0.008168922,0.182940362,9138.544043,1957.020528966921,-10.461039870252755,0.2632198692798714,-7.92740053084308,-0.31605743591382895,-1.5348294528590969,-9.166667423950994,0.19136127014708837,-0.28977006884319245,0.16892044249598437,-1.2534738003063073,1.3235632037962228,-0.5028133606236508
J11BEA7,Gault Parking,0.8109298620000001,1.1292326864290887,BEA,190,14,25,3.17,3,2,376,2.7,0.661087866,69.94883333,-0.20952861037533624,26.2825,48.7942,13.85811754,0.023944652,301.8042009,0.006373468,0.073997719,9665.437573,608.4936699669208,17.372293459747247,-0.02967267972012854,-1.5829673808430798,-0.4019574359138286,0.9371139541409029,-88.564966043951,0.22776015214708834,-0.7262627688431947,0.46809290532459646,-1.5403584147837797,1.36352727211927,0.3984838899793742
J11BEPA15,Gault Parking,1.223103898,0.3220026822490731,BEPA,190,21,25,1.54,2.02,1.25,564,4.9,0.553974385,56.735,-0.11172426693737886,23.10789474,48.0097,14.16067098,0.031962697,978.9630724,0.004608051,0.146957987,2458.327218,2161.3252379669207,18.872293459747247,-0.09145287272012859,3.5519966791569213,0.33354256408617144,1.5431221261409032,-54.002383493951,0.23218556014708835,0.3168471311568063,0.032328375865429575,-1.3592532846526795,1.0568243552925936,-0.0979181434657725
J11BEPO12,Gault Parking,0.21379794199999996,1.384124562181323,BEPO,190,15,15,1.5,2.34,1,537,4.4,0.41607565,47.276,-0.6651599396947564,10.98089286,51.41695267,18.58994924,0.013673912,1384.228269,0.003842745,0.118144581,8633.222818,-1285.2677090330792,-8.264070180252755,-0.028579904720128606,5.299269939156922,0.0901425640861711,1.7211113031409029,-32.064464733951,0.2154272271470884,-0.49506586884319426,0.29695708175901625,-1.4387480788481726,1.4497768244699114,0.4256133208684502
J11COA5,Gault Parking,1.546864852,0.4865214668749416,COA,190,17,10,4,1.77,1.02,342,3,0.473537604,58.219,0.9353733558261358,20.50904762,45.4262,12.12922651,0.025451634,1286.676386,0.003396777,0.151487941,8783.895374,-2958.3991250330796,-3.6277065402527535,-0.05272361172012851,-20.001694770843073,-0.02275743591382865,-0.2510924618590973,-31.58497327395099,0.1404072431470884,-1.357509328843192,0.20883834951479305,-0.8772530760755789,1.4939207243182746,-0.8593512066263026
J11COA6,Gault Parking,0.8717042319999999,0.26285044226186965,COA,190,19,10,4,1.77,1.02,464,3.6,0.670168067,51.2557,0.35236414234677965,27.53965517,44.5831,13.72755983,0.018202124,550.8337994,0.007237312,0.121430263,5652.919906,-419.7436320330792,-0.7943732102527552,-0.020331304720128555,-19.849569250843075,-0.07705743591382866,0.653427812140903,-68.411439173951,0.02310329014708835,-1.1147915888431923,-0.2680987956093748,-0.9992391526779224,1.4369893196745112,-0.24145050344314356
J11FAG17,Gault Parking,1.478615598,0.3553640385717968,FAG,190,17,25,4.75,1.5,1.5,440,4,NA,64.54868,-0.7124408117134945,55.015,47.6881,13.46337806,0.017021405,1087.772139,0.006789977,0.135523456,7488.630832,-499.75815403307917,-8.502706540252754,0.10007798527987144,-25.782640220843078,0.1613425640861713,2.8245033461409026,-45.135492203950996,0.17638682214708834,-0.9919280488431951,-0.024355433834209603,-1.0206894370228317,1.8310899362396087,0.29098359276065827
J11POG7,Gault Parking,2.2193540560000002,1.0194979008563356,POG,190,16,20,1.21,2.5,2,661,5.5,NA,59.63975,-1.5160097164690416,21.70577778,41.7582,16.08503237,0.020076068,2097.167708,0.009187247,0.178355564,4265.953521,4751.672075966922,-9.627706540252754,-0.16124731672012854,21.466918669156918,-0.1484574359138288,1.292003437140903,11.275795026049,0.16233457214708835,0.791215951156805,0.061238854038343796,-1.3435758878057236,1.346327781947436,0.3009205384848865
