"","BAI_GR","BIO_GR","Height.DBH.Ratio","Estem","Branching.Distance","Twig.Diameter","Twig.Wood.Density","Stem.Wood.Density","Leaf.Mass.Fraction","Leaf.Area","LMA","LCC","LNC","LPC","d15N","t.b2","Ks","Ktwig","Huber.Value","X.Lum","VD","X.Sapwood","d13C","Biomass5","pcent.max.Bio5","Tree.Height","Branch.Height","Root.Wood.Density","Twig.branching.angle","Hmax","Shade.Tolerance","Drought.Tolerance","WaterLogging.Tolerance","Porosity_Diffuse","Porosity_Ring","Soil.Fertility","Light","Temperature","pH","Slope"
"J10ACSA19",0.0837559039999999,0.0424493528990008,120,2807.718523,16.75,5.44,0.65688549,0.79003034,0.85520285,43.4278125,36.25268945,48.4995,1.9037,8.33946493,-6.12108284,0.02703713,24.65822365,432.6666406,0.01189264,0.05427032,7375.444935,0.89363822,-30.81102547,0.34898293,0.00761516,384,3.3,0.551916274,60.024,35,4.76,2.88,3.37,1,0,-0.275434463737142,-0.670105981912434,0.00687349434918749,0.874903669352397,-1.51664918948952
"J10AMSP12",0.922118784,0.124933187733367,98.29268293,2012.670184,8,4.395,0.62760602,0.89003906,1.00070175,13.62967213,46.22268195,47.4691,2.5345,11.5421537,-4.73663479,0.02222068,43.61019192,829.0944199,0.00673115,0.13965568,5447.321348,0.96824688,-30.72773155,4.61059392,0.22353442,403,3.9,0.750028382,57.9317,12,3.9,2.58,1.358,1,0,0.372954430069687,-0.940263421124229,0.297847029024664,0.444011270649494,-0.300628091218359
"J10FAG15",0.936495064,0.220496777636204,141.4285714,3871.404188,9.77777778,3.725,0.6042533,0.75105399,1.54271802,51.985625,34.37248278,47.9494,2.2764,10.15500101,-3.18216334,0.01726466,41.18362907,767.8101785,0.00721477,0.117634,5979.837344,0.9495096,-31.70953758,4.68247532,0.3202161,396,3.2,0.672326924,71.62496667,25,4.75,1.5,1.5,1,0,0.237362829519427,-0.871139755149353,0.167574360149267,-0.116831333201051,-0.729479846564569
"J10FRA19",0.407720136,0.0653282570003958,113.9473684,3121.343102,56,8.935,0.54812149,0.7678219,1.18893491,354.2825,44.15614658,46.4648,2.5594,12.08830481,-7.86346443,0.02363995,337.2024607,1420.26745,0.08723904,0.14587747,19565.18203,0.21451097,-30.60815605,2.03860068,0.14591301,433,3.2,0.63447988,32.5759,30,2.46,2.38,2.59,0,1,-0.202547699437248,-0.927316652150846,-0.28925357358634,-0.332655468549134,0.0219156536917738
"J10OSV19",0.247347564,0.244220547047493,193.3333333,4496.479369,8.28571429,3.76,0.58301348,0.7995936,1.53810132,19.58761905,36.05290028,47.7029,2.1661,8.47040947,-3.07207354,0.01943153,45.66849898,874.9587068,0.00656972,0.07918785,7042.175693,0.97575532,-31.26575073,1.23673782,0.18120216,290,2.9,0.737303054,69.08508,12,4.58,3.25,1.07,1,0,-0.50465864299523,-0.347209686438401,0.171956828837647,0.589282130073616,-1.22044265528599
"J10PRS11",0.712056358,0.131712039222946,98.38709677,1384.758439,11.30769231,5.43,0.5945464,0.74416244,1.25631637,22.74170213,50.80178882,47.37505978,2.9356,10.6626721,-5.92586556,0.02589995,45.11235151,863.5253954,0.0090126,0.14170496,4933.1,0.97487685,-29.18777306,3.56028179,0.20084238,305,2.7,0.566377342,49.44392857,22,2.46,3.02,1.06,1,0,0.352972977838108,-0.781610466033943,0.262510393279994,-0.429498728378985,-0.664026314002104
"J11ACP9",0.116256656,0.0693603588444861,131.3043478,1889.930674,36.33333333,5.405,0.44961241,0.56262774,0.54621309,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.0220676,34.23878229,484.7949762,0.0095984,0.08420606,6522.291232,0.72112393,-30.68918068,0.58128327,0.0507526,302,2,0.60507326,50.0092,10,3.56,2,1,1,0,-0.269588768774583,-0.774038271916683,1.0476490872691,1.12549218139385,-0.437961061127868
"J11AMSP14",0.464706466,0.544484371871896,267.3684211,6619.639397,14.91666667,4.65,0.61254573,0.87597938,0.76461769,15.79137931,51.07544492,46.6836,2.2905,12.66682909,-2.71104437,0.00794417,63.9744543,1187.480358,0.00529215,0.15204918,8093.523167,0.94534418,-30.3898085,2.32353233,0.10994809,508,3.6,0.658798394,51.79415,12,1.938,2.144,1.408,1,0,0.149963721600298,-1.27567483378663,0.786386657261331,0.898023016940857,-0.39353526326556
"J11BEA6",0.374048192,0.385507611639454,210.9677419,4774.756829,9.85714286,4.31,0.53803359,0.64262295,1.49438669,19.9,33.76884422,46.8291,2.0502,10.98919808,-2.12705718,0.01956598,86.73651596,1689.660289,0.0030214,0.10101994,13396.73355,0.99212761,-30.66197403,3.8584681,0.201626816,327,2,0.62009534,64.6842,25,3.17,3,2,1,0,-0.0576564513243537,-1.31576703445086,0.802338799159243,0.655485621134856,0.307473207109922
"J11BEA7",0.810929862,1.13128175387437,214.8571429,4962.812215,40,4.43,0.52701882,0.59119196,2.17432647,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.35881122,0.02394465,15.50386653,301.8042009,0.00637347,0.07399772,9665.437573,0.99141474,-31.11229691,4.05464931,0.17744553,376,2.7,0.66108787,69.94883333,25,3.17,3,2,1,0,0.674953938673753,-1.44508234794762,0.958480518788579,0.427124038053336,-0.944453706606776
"J11BEPO11",0.012821982,0.442701543405676,128.9473684,1069.784403,28.2,3.81,0.53233245,0.52636816,0.89176471,12.41448276,51.63602022,49.67241821,3.3173,14.09329873,-3.20521894,0.01970656,38.35987793,736.3124051,0.00321695,0.10885396,4383.95696,0.97758608,-29.74619896,0.06410991,0.05906978,245,1.8,0.61400271,44.4195,15,1.5,2.34,1,1,0,-0.47676558678378,-1.40257964867142,0.191340307450522,0.685925790209309,0.0587094919761105
"J11BEPO12",0.213797942,1.39266907104329,108.4848485,3069.050836,14.36363636,4.64,0.54046706,0.59228473,0.92688782,10.98089286,53.85978892,51.41695267,2.8457,18.58994924,-0.57481387,0.01367391,72.00436784,1384.228269,0.00384275,0.11814458,8633.222818,0.97908181,-30.88110001,1.06898972,1,537,4.4,0.41607565,47.276,15,1.5,2.34,1,1,0,0.463394235119946,-1.34887571319939,0.999125990323193,0.51896089530499,-0.646733336235442
"J11COA6",0.871704232,0.262911981646645,132.5714286,3934.574913,21.83333333,6.14,0.53932208,0.60053333,0.38974366,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.64249736,0.01820212,35.6573934,550.8337994,0.00723731,0.12143026,5652.919906,0.78675787,-31.50082573,4.35852116,0.48056787,464,3.6,0.67016807,51.2557,10,4,1.77,1.02,1,0,-0.240370099737859,-0.773929401348779,1.26740171869618,0.0353263820447145,-0.105811329044942
"J11POG7",2.219354056,1.0199514869616,183.6111111,9105.990621,13,5.975,0.42548901,0.45961732,1.92444983,21.70577778,70.02743765,41.7582,2.6071,16.08503237,-1.00392173,0.02007607,115.3446276,2097.167708,0.00918725,0.17835556,4265.953521,0.92598916,-29.59481819,11.09677029,0.28479529,661,5.5,0.610604002,59.63975,20,1.21,2.5,2,1,0,0.16328732620688,-1.23648326693439,0.982402583695208,0.385207109600923,0.307892724305191
"J11POT11",1.210008268,0.442543195916195,172.4242424,6964.813515,11,5.725,0.51439097,0.5764557,1.71323529,14.926,80.27937827,48.858,2.8376,12.35296523,-2.13554724,0.00275609,41.28901846,788.8702071,0.00644598,0.11142297,4849.766496,0.97306333,-29.3259581,6.05004134,0.23664473,569,3.5,0.6290993,74.54733333,25,1.21,1.77,1.77,1,0,0.425658106372041,-1.46677857289558,0.734952830445347,0.595719219364903,-0.614456022148117
"J11POT12",0.436597538,0.851961294604723,203.4482759,2415.764735,34.66666667,4.825,0.48186981,0.57550158,2.23332299,18.02212121,91.97450944,44.3039,2.4126,13.35560988,-2.56526859,0.03443324,30.55874422,587.167744,0.00498754,0.10885153,5521.064277,0.97858104,-28.29275307,2.18298769,0.07998824,295,2.6,0.59877059,72.052,25,1.21,1.77,1.77,1,0,0.601738189562584,-1.5650397680374,0.426449154033329,0.640368151731136,-1.27780664027018
"J11PRP8",0.601208352,0.363806688794677,177.5,6540.187445,8.35714286,4.105,0.58098339,0.64181406,1.76168078,15.33710526,49.24417906,49.55314892,2.5625,16.78842288,-3.21638312,0.02560363,71.29450175,1326.322214,0.0080339,0.13321151,8351.240621,0.94746487,-30.58699638,3.00604177,0.2354975,497,3.6,0.521722402,50.7753,12,1.864,2.092,1.18,1,0,0.462352994198921,-1.22346185092504,1.12150496885313,0.445918035138106,-1.34403175205932
"J11QUR19",1.35999393,0.566913781315054,173.2258065,8602.652067,31.5,7.135,0.5757518,0.79150968,1.0303641,93.28166667,52.99362147,47.3582,2.7166,11.4558948,1.19793022,0.03634079,281.2747697,1198.120273,0.06714133,0.10960146,42423.96939,0.21694006,-29.63957771,6.79996964,0.25897007,537,3.7,0.644045556,7.538,25,2.75,2.88,1.12,0,1,-0.230319660269302,-1.14803641071552,1.84182194084977,1.34367329096366,0.603910217981246
"J11QUR20",0.30398514,0.289826341145463,183.4482759,2827.123137,11.71428571,5.405,0.53281394,0.8245093,1.15040121,50.35888889,39.04198751,48.0477,2.5186,11.43280644,-0.45805687,0.011666,313.6379901,625.0836387,0.10685034,0.15978914,39892.44825,0.10150316,-31.12436089,1.5199257,0.05356798,266,1.7,0.600106744,45.66505,25,2.75,2.88,1.12,0,1,0.132516860959108,-1.05252419298253,1.17432224173827,0.0457563397607316,-0.490720594388047
"J11SOA10",1.269459158,0.376070115412849,171.25,6631.906161,12.66666667,4.585,0.53622138,0.67028674,0.53063803,19.17266667,47.28954414,45.9814,2.4735,15.18300142,-2.58542334,0.0329153,18.88733802,324.2869931,0.003831,0.09925968,3453.805612,0.87443773,-31.20744713,6.34729579,0.42863656,548,3.3,0.646514578,50.0795,10,2.59,1.77,1.27,1,0,0.0313703390831625,-1.15961820787692,0.98596377580422,0.537542641581289,-0.45443573460259
"J12ACP12",0.2430889,0.106079929168798,138.7755102,1877.633291,29.66666667,4.725,0.43984628,0.57552239,0.45502367,87.694,25.61178644,44.6355,2.7603,24.82237046,-4.66202457,0.02066084,38.49389995,608.4670665,0.00634745,0.09786107,6003.352164,0.80503595,-30.35851463,2.59012481,0.105713656,340,2,0.615268116,59.1578,10,3.56,2,1,1,0,-1.79048548785346,-0.448668797986572,0.158100895081822,0.80597628022139,-0.0323169600757691
"J12ACSP5",1.583825572,0.491811214958819,119.4871795,2491.920762,10.5,5.25,0.40696989,0.52083053,1.23511577,37.13263158,32.48667649,47.66448922,2.6486,23.6168195,-4.16811504,0.02052746,49.33750667,727.9098011,0.00991117,0.08481488,7034.151125,0.75139877,-30.99303467,7.91912786,0.08421976,466,3.3,0.62914485,48.09646667,5,3.31,2,2,1,0,-0.448052782573622,-1.42252708440158,0.396127380714304,-0.304772986312099,-1.24822905691355
"J12ACSP6",0.100075238,0.242308775846692,185.1851852,2319.218352,28,5.23,0.45068438,0.4928655,0.52641459,35.68266667,24.0639713,47.7578,2.1688,17.82658717,-4.07002552,0.0289815,47.60588338,671.0938253,0.00759214,0.09875028,6583.810822,0.71794756,-31.01059898,0.50037619,0.0058931,250,1.9,0.572153736,51.70015,5,3.31,2,2,1,0,-0.368184897044335,-1.27793245015044,0.416513908948657,0.0776344062420929,-1.66111697435132
