"","BAI_GR","BIO_GR","Height.DBH.Ratio","Estem","Branching.Distance","Twig.Diameter","Twig.Wood.Density","Stem.Wood.Density","Leaf.Mass.Fraction","Leaf.Area","LMA","LCC","LNC","LPC","d15N","t.b2","Ks","Ktwig","Huber.Value","X.Lum","VD","X.Sapwood","d13C","Biomass5","pcent.max.Bio5","Tree.Height","Branch.Height","Root.Wood.Density","Twig.branching.angle","Hmax","Shade.Tolerance","Drought.Tolerance","WaterLogging.Tolerance","Porosity_Diffuse","Porosity_Ring","Soil.Fertility","Light","Temperature","Soil.Humidity.Depth.","Slope_Phosphorus"
"J11ACP9",0.116256656,0.0693603588444861,131.3043478,1889.930674,36.33333333,5.405,0.44961241,0.56262774,0.54621309,128.66125,24.80350533,42.48747492,2.3974,15.71030643,-4.48467865,0.0220676,34.23878229,484.7949762,0.0095984,0.08420606,6522.291232,0.72112393,-30.68918068,0.58128327,0.0507526,302,2,0.60507326,50.0092,10,3.56,2,1,1,0,-0.200529081242176,-0.602091157920382,1.75560620205381,-0.95555528552505,0.502036773966931
"J11ACSA21",0.158071638,0.219038863403695,233.5714286,6266.42515,16.6,6.13,0.52680137,0.77726175,1.38935718,49.942,47.79544271,46.9333,2.0129,8.38079294,-3.30682736,0.03181824,40.65469806,574.3777471,0.0128926,0.0911302,6494.73508,0.71954337,-30.3231028,0.79035819,0.01383107,327,2.9,NA,41.72865,35,4.76,2.88,3.37,1,0,0.371500921262425,-1.21492886285006,1.45976532854848,-1.11009569314872,0.219556301290439
"J11BEA7",0.810929862,1.13128175387437,214.8571429,4962.812215,40,4.43,0.52701882,0.59119196,2.17432647,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.35881122,0.02394465,15.50386653,301.8042009,0.00637347,0.07399772,9665.437573,0.99141474,-31.11229691,4.05464931,0.17744553,376,2.7,0.66108787,69.94883333,25,3.17,3,2,1,0,0.520304291369873,-1.29271417275226,1.53624234570543,-1.19624871174138,-0.21032078170979
"J11BEPA15",1.223103898,0.322073828174086,181.9354839,6515.643783,41.5,4.48,0.48456791,0.52941177,1.12222602,23.10789474,52.11251566,48.0097,3.0891,14.16067098,-0.75280304,0.0319627,50.06644908,978.9630724,0.00460805,0.14695799,2458.327218,0.99584014,-30.06918701,6.11551949,0.19254421,564,4.9,0.55397439,56.735,25,1.54,2.02,1.25,1,0,0.0913875147933241,-1.08504207383431,1.41002703550061,-1.4707855054063,-0.112893222304101
"J11COA5",1.546864852,0.486725226239463,114,1395.91942,19,4.77,0.45706916,0.56814103,0.23932048,20.50904762,28.55882421,45.4262,2.7328,12.12922651,-2.54701763,0.02545163,72.4838593,1286.676386,0.00339678,0.15148794,8783.895374,0.90406183,-31.74354347,7.73432426,0.72272265,342,3,0.4735376,58.219,10,4,1.77,1.02,1,0,0.272906742832249,-0.601551588601233,1.82896344890272,-0.957038682801537,0.93070565210285
"J11COA6",0.871704232,0.262911981646645,132.5714286,3934.574913,21.83333333,6.14,0.53932208,0.60053333,0.38974366,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.64249736,0.01820212,35.6573934,550.8337994,0.00723731,0.12143026,5652.919906,0.78675787,-31.50082573,4.35852116,0.48056787,464,3.6,0.67016807,51.2557,10,4,1.77,1.02,1,0,-0.202673938172305,-0.712529554393179,1.70138438351806,-1.14182432301945,0.349926466897939
"J11POG7",2.219354056,1.0199514869616,183.6111111,9105.990621,13,5.975,0.42548901,0.45961732,1.92444983,21.70577778,70.02743765,41.7582,2.6071,16.08503237,-1.00392173,0.02007607,115.3446276,2097.167708,0.00918725,0.17835556,4265.953521,0.92598916,-29.59481819,11.09677029,0.28479529,661,5.5,NA,59.63975,20,1.21,2.5,2,1,0,0.118253282292963,-1.08493324357738,1.52984183518784,-1.55401870572654,-1.51884436107961
"J11POT12",0.436597538,0.851961294604723,203.4482759,2415.764735,34.66666667,4.825,0.48186981,0.57550158,2.23332299,18.02212121,91.97450944,44.3039,2.4126,13.35560988,-2.56526859,0.03443324,30.55874422,587.167744,0.00498754,0.10885153,5521.064277,0.97858104,-28.29275307,2.18298769,0.07998824,295,2.6,NA,72.052,25,1.21,1.77,1.77,1,0,0.45350015149803,-1.42130044443191,1.07674468050707,-1.22029149357954,0.579389272042481
"J11PRP8",0.601208352,0.363806688794677,177.5,6540.187445,8.35714286,4.105,0.58098339,0.64181406,1.76168078,15.33710526,49.24417906,49.55314892,2.5625,16.78842288,-3.21638312,0.02560363,71.29450175,1326.322214,0.0080339,0.13321151,8351.240621,0.94746487,-30.58699638,3.00604177,0.2354975,497,3.6,NA,50.7753,12,NA,NA,NA,1,0,0.341578190457695,-1.07570686394436,1.68728806892105,-1.0062941924582,0.454048935579809
"J11QUR20",0.30398514,0.289826341145463,183.4482759,2827.123137,11.71428571,5.405,0.53281394,0.8245093,1.15040121,50.35888889,39.04198751,48.0477,2.5186,11.43280644,-0.45805687,0.011666,313.6379901,625.0836387,0.10685034,0.15978914,39892.44825,0.10150316,-31.12436089,1.5199257,0.05356798,266,1.7,NA,45.66505,25,2.75,2.88,1.12,0,1,0.0813801410737581,-0.964045485889748,1.66310573347089,-1.07742416355742,0.226787301116054
